"Node ID","Nickname","Latitude","Longitude","Node Parent","Base Volts","Base Current","Base Power","Configuration","RemoteControlAvailable","SegmentId","Upstream Connection","Downstream Connection","Phase","Nominal Feeder"
"21474836490","HVMV_Sub","38.94648419797514","-104.72096487879753","42949672962","115000.0","5000","2.75E7","XFM-20","false","","","","ABC",""
"30064771113","Switch, HVMV_Sub_Bus_2_Disconnect","38.94648419797514","-104.72096487879753","42949672962","12470.0","5000","2.75E7","SW-3","false","","","","ABC","30064771113"
"8589934822","_HVMV_Sub_LSB-HVMV_Sub_48332","","","","12470","5000","27500000","LINE-144","false","","","","ABC","30064771113"
"38654705676","Regulator, HVMV_Sub_RegB","38.94648419797514","-104.72096487879753","42949672962","12470","5000","27500000","VR-29","false","","","","ABC",""
"38654705675","Regulator, HVMV_Sub_RegA","38.94648419797514","-104.72096487879753","42949672962","12470","5000","27500000","VR-30","false","","","","ABC",""
"38654705677","Regulator, HVMV_Sub_RegC","38.94648419797514","-104.72096487879753","42949672962","12470","5000","27500000","VR-31","false","","","","ABC",""
"8589934824","221-311359-L3234149","","","","12470","5000","27500000","LINE-145","false","","","","ABC","30064771113"
"25769803778","LoadTransformer, T227944551B","38.93440185","-104.7133731","","12470","5000","27500000","SXFM-252","false","","","","B","30064771113"
"25769803777","LoadTransformer, T227944551C","38.93440185","-104.7133731","","12470","5000","27500000","SXFM-253","false","","","","C","30064771113"
"25769803779","LoadTransformer, T227944551A","38.93440185","-104.7133731","","12470","5000","27500000","SXFM-254","false","","","","A","30064771113"
"8589934825","221-308718-L2803199","","","","12470","5000","27500000","LINE-146","false","","","","ABC","30064771113"
"25769803782","LoadTransformer, T227760021A","38.95162669","-104.6817081","","12470","5000","27500000","SXFM-209","false","","","","A","30064771113"
"25769803781","LoadTransformer, T227760021B","38.95162669","-104.6817081","","12470","5000","27500000","SXFM-210","false","","","","B","30064771113"
"25769803780","LoadTransformer, T227760021C","38.95162669","-104.6817081","","12470","5000","27500000","SXFM-211","false","","","","C","30064771113"
"8589934826","P862322-221-308718","","","","12470","5000","27500000","LINE-147","false","","","","ABC","30064771113"
"8589934827","221-242079-L3011293","","","","12470","5000","27500000","LINE-148","false","","","","ABC","30064771113"
"25769803785","LoadTransformer, T28129466C","38.93847269","-104.7173169","","12470","5000","27500000","SXFM-159","false","","","","C","30064771113"
"25769803783","LoadTransformer, T28129466A","38.93847269","-104.7173169","","12470","5000","27500000","SXFM-165","false","","","","A","30064771113"
"25769803784","LoadTransformer, T28129466B","38.93847269","-104.7173169","","12470","5000","27500000","SXFM-167","false","","","","B","30064771113"
"8589934828","M1108398-P850072","","","","12470","5000","27500000","LINE-149","false","","","","ABC","30064771113"
"8589934829","M1108387-P850080","","","","12470","5000","27500000","LINE-150","false","","","","ABC","30064771113"
"8589934830","M1089185-P850083","","","","12470","5000","27500000","LINE-151","false","","","","ABC","30064771113"
"8589934831","P850072-221-311609","","","","12470","5000","27500000","LINE-152","false","","","","ABC","30064771113"
"8589934832","M1089183-L2990826","","","","12470","5000","27500000","LINE-153","false","","","","ABC","30064771113"
"25769803787","LoadTransformer, T5337619B","38.95203577","-104.6787211","","12470","5000","27500000","SXFM-713","false","","","","B","30064771113"
